Item Names,ID,Type,Exclusive To,Cost,Effect
Master Roshi Training,00_0_0000,Capsule,,1,"Increases maximum health by 2,500 HP (1/4 of a bar)."
Rush Attack Boost 1,00_0_0005,Capsule,,1,Increases Rush Attack damage by 2.5%.
Rush Attack Boost 2,00_0_0006,Capsule,,3,Increases Rush Attack damage by 5%.
Rush Attack Boost 3,00_0_0007,Capsule,,5,Increases Rush Attack damage by 7.5%.
Smash Attack Boost 1,00_0_0011,Capsule,,1,"Increases Smash Attack damage by 2.5%. 
Increases Rush Chain damage by 2.5%."
Smash Attack Boost 2,00_0_0012,Capsule,,3,"Increases Smash Attack damage by 5%. 
Increases Rush Chain damage by 5%."
Smash Attack Boost 3,00_0_0013,Capsule,,5,"Increases Smash Attack damage by 7.5%. 
Increases Rush Chain damage by 7.5%."
Ki Blast Attack Boost 1,00_0_0014,Capsule,,1,"Increases Rush Ki Blast damage by 2.5%. 
Increases Smash Ki Blast damage by 2.5%."
Ki Blast Attack Boost 2,00_0_0015,Capsule,,3,"Increases Rush Ki Blast damage by 5%. 
Increases Smash Ki Blast damage by 5%."
Ki Blast Attack Boost 3,00_0_0016,Capsule,,5,"Increases Rush Ki Blast damage by 7.5%. 
Increases Smash Ki Blast damage by 7.5%."
Power Unleashed,00_0_0023,Capsule,,2,Increases Burst Rush damage by 5%.
Finishing Blow,00_0_0024,Capsule,,1,Increases Burst Meteor damage by 5%.
Blast Burst,00_0_0026,Capsule,,1,"Increases ki cost for Blasts by 1 bar. 
Increases Blast damage by 5%. 
Increases Blast Combo damage by 5%."
Ultimate Burst,00_0_0027,Capsule,,2,"Increases ki cost for Ultimate Blasts by 1 bar. 
Causes stun when Sparking Mode ends after using Ultimate Blast. 
Increases Ultimate Blast damage by 5%."
Blast Attack Boost 1,00_0_0028,Capsule,,1,"Increases Blast damage by 2.5%. 
Increases Blast Combo damage by 2.5%. 
Increases Ultimate Blast damage by 2.5%."
Blast Attack Boost 2,00_0_0029,Capsule,,3,"Increases Blast damage by 5%. 
Increases Blast Combo damage by 5%. 
Increases Ultimate Blast damage by 5%."
Blast Attack Boost 3,00_0_0030,Capsule,,5,"Increases Blast damage by 7.5%. 
Increases Blast Combo damage by 7.5%. 
Increases Ultimate Blast damage by 7.5%."
Super Warrior,00_0_0031,Capsule,,2,Increases Rush Attack damage by 5% during Sparking Mode.
Draconic Aura,00_0_0032,Capsule,,4,"Increases armor break level by 3.
Beats Power body and Light body."
